FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.jsonwebtoken.SignatureAlgorithm.java.Clock.java.Clock,Clock,0.1366378719319896,0,1,0,0,0,1,0.0,5,14,0.0,0,1,2,1,1,0.0,1
io.jsonwebtoken.impl.crypto.SignatureAlgorithm.java.DefaultSignatureValidatorFactory.java.DefaultSignatureValidatorFactory,DefaultSignatureValidatorFactory,0.2198855066502125,7,1,7,1,0,1,0.0,32,30,1.0,4,2,0,1,2,0.0,2
io.jsonwebtoken.Jwts.java.Jwts,Jwts,0.10247840394899219,6,19,6,0,1,46,1.0,4,96,0.0,0,9,0,8,8,0.10714285714285714,8
io.jsonwebtoken.SignatureAlgorithm.java.CompressionCodec.java.CompressionCodec,CompressionCodec,0.1366378719319896,2,2,2,0,0,9,0.0,16,38,0.0,0,3,2,3,3,0.0,3
io.jsonwebtoken.MissingClaimException.java.MissingClaimException,MissingClaimException,0.170797339914987,3,19,3,3,0,0,0.0,21,15,0.0,2,0,0,0,0,0.0,0
io.jsonwebtoken.MalformedJwtException.java.MalformedJwtException,MalformedJwtException,0.1366378719319896,1,1,1,1,0,0,0.0,21,15,0.0,2,0,0,0,0,0.0,0
io.jsonwebtoken.SignatureAlgorithm.java.PrematureJwtException.java.PrematureJwtException,PrematureJwtException,0.1366378719319896,3,1,3,2,0,0,0.0,21,22,0.0,2,0,0,0,0,0.0,0
io.jsonwebtoken.impl.crypto.SignatureAlgorithm.java.MacSigner.java.MacSigner,MacSigner,0.11740710270122036,6,1,5,2,0,9,1.0,9,40,1.0,7,3,0,3,4,0.0,3
io.jsonwebtoken.impl.crypto.SignatureAlgorithm.java.JwtSigner.java.JwtSigner,JwtSigner,0.18572603866721513,0,1,0,0,0,1,0.0,9,4,1.0,0,1,1,1,1,0.0,1
io.jsonwebtoken.ClaimJwtException.java.ClaimJwtException,ClaimJwtException,0.20495680789798437,3,19,3,1,2,0,0.0,17,34,0.6666666666666667,2,6,3,2,2,0.0,2
io.jsonwebtoken.RequiredTypeException.java.RequiredTypeException,RequiredTypeException,0.1366378719319896,2,1,2,1,0,0,0.0,21,15,0.0,2,0,0,0,0,0.0,0
io.jsonwebtoken.JwtHandlerAdapter.java.JwtHandlerAdapter,JwtHandlerAdapter,0.170797339914987,6,19,6,0,0,16,0.0,17,35,0.8,4,4,0,4,4,0.0,4
